date,report
2019/12/31,0
2020/1/1,0
2020/1/2,0
2020/1/3,0
2020/1/4,0
2020/1/5,0
2020/1/6,0
2020/1/7,0
2020/1/8,0
2020/1/9,0
2020/1/10,0
2020/1/11,0
2020/1/12,0
2020/1/13,0
2020/1/14,0
2020/1/15,0
2020/1/16,0
2020/1/17,0
2020/1/18,0
2020/1/19,0
2020/1/20,0
2020/1/21,0
2020/1/22,0
2020/1/23,0
2020/1/24,0
2020/1/25,0
2020/1/26,0
2020/1/27,0
2020/1/28,0
2020/1/29,0
2020/1/30,0
2020/1/31,0
2020/2/1,1
2020/2/2,0
2020/2/3,0
2020/2/4,0
2020/2/5,0
2020/2/6,0
2020/2/7,0
2020/2/8,0
2020/2/9,0
2020/2/10,0
2020/2/11,0
2020/2/12,0
2020/2/13,0
2020/2/14,0
2020/2/15,0
2020/2/16,0
2020/2/17,0
2020/2/18,0
2020/2/19,0
2020/2/20,0
2020/2/21,0
2020/2/22,0
2020/2/23,0
2020/2/24,0
2020/2/25,0
2020/2/26,0
2020/2/27,1
2020/2/28,1
2020/2/29,8
2020/3/1,3
2020/3/2,0
2020/3/3,5
2020/3/4,13
2020/3/5,30
2020/3/6,25
2020/3/7,59
2020/3/8,33
2020/3/9,67
2020/3/10,101
2020/3/11,98
2020/3/12,196
2020/3/13,151
2020/3/14,152
2020/3/15,71
2020/3/16,77
2020/3/17,83
2020/3/18,119
2020/3/19,145
2020/3/20,143
2020/3/21,180
2020/3/22,136
2020/3/23,159
2020/3/24,182
2020/3/25,230
2020/3/26,314
2020/3/27,286
2020/3/28,365
2020/3/29,300
2020/3/30,358
2020/3/31,416
2020/4/1,475
2020/4/2,486
2020/4/3,554
2020/4/4,601
2020/4/5,357
2020/4/6,373
2020/4/7,389
2020/4/8,738
2020/4/9,654
2020/4/10,645
2020/4/11,454
2020/4/12,395
2020/4/13,464
2020/4/14,437
2020/4/15,479
2020/4/16,604
2020/4/17,623
2020/4/18,688
2020/4/19,532
2020/4/20,497
2020/4/21,461
2020/4/22,707
2020/4/23,722
2020/4/24,758
2020/4/25,780
2020/4/26,473
2020/4/27,518
2020/4/28,563
2020/4/29,742
2020/4/30,799
2020/5/1,635
2020/5/2,532
2020/5/3,299
2020/5/4,388
2020/5/5,477
2020/5/6,657
2020/5/7,745
2020/5/8,784
2020/5/9,700
2020/5/10,509
2020/5/11,482
2020/5/12,455
2020/5/13,754
2020/5/14,698
2020/5/15,657
2020/5/16,688
2020/5/17,358
2020/5/18,394
2020/5/19,430
2020/5/20,666
2020/5/21,808
2020/5/22,610
2020/5/23,532
2020/5/24,403
2020/5/25,447
2020/5/26,491
2020/5/27,746
2020/5/28,800
2020/5/29,774
2020/5/30,773
2020/5/31,432
2020/6/1,540
2020/6/2,648
2020/6/3,901
2020/6/4,1046
2020/6/5,1039
2020/6/6,1146
2020/6/7,780
2020/6/8,729
2020/6/9,677
2020/6/10,936
2020/6/11,1437
2020/6/12,1293
2020/6/13,1329
2020/6/14,1032
2020/6/15,859
2020/6/16,685
2020/6/17,1209
2020/6/18,1457
2020/6/19,1494
2020/6/20,1209
2020/6/21,698
2020/6/22,749
2020/6/23,800
2020/6/24,1309
2020/6/25,1698
2020/6/26,1279
2020/6/27,1204
2020/6/28,755
2020/6/29,741
2020/6/30,727
2020/7/1,803
2020/7/2,684
2020/7/3,687
2020/7/4,694
2020/7/5,364
2020/7/6,315
2020/7/7,251
2020/7/8,278
2020/7/9,533
2020/7/10,334
2020/7/11,369
2020/7/12,308
2020/7/13,239
2020/7/14,170
2020/7/15,312
2020/7/16,287
2020/7/17,268
2020/7/18,284
2020/7/19,191
2020/7/20,161
2020/7/21,131
2020/7/22,226
2020/7/23,297
2020/7/24,220
2020/7/25,262
2020/7/26,138
2020/7/27,105
2020/7/28,71
2020/7/29,283
2020/7/30,301
2020/7/31,302
2020/8/1,258
2020/8/2,303
2020/8/3,234
2020/8/4,165
2020/8/5,333
2020/8/6,425
2020/8/7,378
2020/8/8,380
2020/8/9,260
2020/8/10,228
2020/8/11,196
2020/8/12,417
2020/8/13,443
2020/8/14,363
2020/8/15,344
2020/8/16,226
2020/8/17,200
2020/8/18,174
2020/8/19,314
2020/8/20,351
2020/8/21,333
2020/8/22,298
2020/8/23,160
2020/8/24,167
2020/8/25,174
2020/8/26,222
2020/8/27,244
2020/8/28,202
2020/8/29,179
2020/8/30,131
2020/8/31,147
2020/9/1,162
2020/9/2,171
2020/9/3,213
2020/9/4,286
2020/9/5,262
2020/9/6,171
2020/9/7,178
2020/9/8,185
2020/9/9,236
2020/9/10,314
2020/9/11,256
2020/9/12,292
2020/9/13,206
2020/9/14,213
2020/9/15,220
2020/9/16,292
2020/9/17,330
2020/9/18,389
2020/9/19,437
2020/9/20,279
2020/9/21,273
2020/9/22,267
2020/9/23,438
2020/9/24,553
2020/9/25,540
2020/9/26,630
2020/9/27,325
2020/9/28,352
2020/9/29,379
2020/9/30,613
2020/10/1,688
2020/10/2,634
2020/10/3,712
2020/10/4,461
2020/10/5,418
2020/10/6,375
2020/10/7,786
2020/10/8,831
2020/10/9,835
2020/10/10,785
2020/10/11,510
2020/10/12,540
2020/10/13,570